Galaxy,Type,Distance,L<sub>B</sub>,R<sub>0</sub>,R<sub>last</sub>,M<sub>HI</sub>,M<sub>disk</sub>,(M/L)<sub>stars</sub>,(v<sup>2</sup>/c<sup>2</sup>R)<sub>last</sub>,Data Sources
NGC-3726,HSB,17.4,3.340,3.2,31.5,0.60,3.82,1.15,3.19,[19]-[20]-[21]-[20]
NGC-3769,HSB,15.5,0.684,1.5,32.2,0.41,1.36,1.99,1.43,[19]-[20]-[21]-[20]
NGC-3877,HSB,15.5,1.948,2.4,9.8,0.11,3.44,1.76,10.51,[19]-[20]-[21]-[20]
NGC-3893,HSB,18.1,2.928,2.4,20.5,0.59,5.00,1.71,3.85,[19]-[20]-[21]-[20]
NGC-3917,LSB,16.9,1.334,2.8,13.9,0.17,2.23,1.67,4.85,[19]-[20]-[21]-[20]
NGC-3949,HSB,18.4,2.327,1.7,7.2,0.35,2.37,1.02,14.23,[19]-[20]-[21]-[20]
NGC-3953,HSB,18.7,4.236,3.9,16.3,0.31,9.79,2.31,10.20,[19]-[20]-[21]-[20]
NGC-3972,HSB,18.6,0.978,2.0,9.0,0.13,1.49,1.53,7.18,[19]-[20]-[21]-[20]
NGC-3992,HSB,25.6,8.456,5.7,49.6,1.94,13.94,1.65,4.08,[19]-[20]-[21]-[20]
NGC-4010,LSB,18.4,0.883,3.4,10.6,0.29,2.03,2.30,5.03,[19]-[20]-[21]-[20]
NGC-4013,HSB,18.6,2.088,2.1,33.1,0.32,5.58,2.67,3.14,[19]-[20]-[21]-[20]
NGC-4051,HSB,14.6,2.281,2.3,9.9,0.18,3.17,1.39,8.52,[19]-[20]-[22]-[20]
NGC-4085,HSB,19.0,1.212,1.6,6.5,0.15,1.34,1.11,10.21,[19]-[20]-[21]-[20]
NGC-4088,HSB,15.8,2.957,2.8,18.8,0.64,4.67,1.58,5.79,[19]-[20]-[21]-[20]
NGC-4100,HSB,21.4,3.388,2.9,27.1,0.44,5.74,1.69,3.35,[19]-[20]-[21]-[20]
NGC-4138,LSB,15.6,0.827,1.2,16.1,0.11,2.97,3.59,5.04,[19]-[20]-[21]-[20]
NGC-4157,HSB,18.7,2.901,2.6,30.9,0.88,5.83,2.01,3.99,[19]-[20]-[21]-[20]
NGC-4183,HSB,16.7,1.042,2.9,19.5,0.30,1.43,1.38,2.36,[19]-[20]-[21]-[20]
NGC-4217,HSB,19.6,3.031,3.1,18.2,0.30,5.53,1.83,6.28,[19]-[20]-[21]-[20]
NGC-4389,HSB,15.5,0.610,1.2,4.6,0.04,0.42,0.68,9.49,[19]-[20]-[21]-[20]
UGC-6399,LSB,18.7,0.291,2.4,8.1,0.07,0.59,2.04,3.42,[19]-[20]-[21]-[20]
UGC-6446,LSB,15.9,0.263,1.9,13.6,0.24,0.36,1.36,1.70,[19]-[20]-[22]-[20]
UGC-6667,LSB,19.8,0.422,3.1,8.6,0.10,0.71,1.67,3.09,[19]-[20]-[21]-[20]
UGC-6818,LSB,21.7,0.352,2.1,8.4,0.16,0.11,0.33,2.35,[19]-[20]-[21]-[20]
UGC-6917,LSB,18.9,0.563,2.9,10.9,0.22,1.24,2.20,4.05,[19]-[20]-[21]-[20]
UGC-6923,LSB,18.0,0.297,1.5,5.3,0.08,0.35,1.18,4.43,[19]-[20]-[22]-[20]
UGC-6930,LSB,17.0,0.601,2.2,15.7,0.29,1.02,1.69,2.68,[19]-[20]-[21]-[20]
UGC-6973,HSB,25.3,1.647,2.2,11.0,0.35,3.99,2.42,10.58,[19]-[20]-[22]-[20]
UGC-6983,LSB,20.2,0.577,2.9,17.6,0.37,1.28,2.22,2.43,[19]-[20]-[21]-[20]
UGC-7089,LSB,13.9,0.352,2.3,7.1,0.07,0.35,0.98,3.18,[19]-[20]-[21]-[20]
