Galaxy,Type,Distance,L<sub>B</sub>,R<sub>0</sub>,R<sub>last</sub>,M<sub>HI</sub>,M<sub>disk</sub>,(M/L)<sub>stars</sub>,(v<sup>2</sup>/c<sup>2</sup>R)<sub>last</sub>,Data Sources
ESO-0140040,LSB,217.8,7.169,10.1,30.0,NA,20.70,3.38,8.29,[26]-[41]-[42]-[NA]
ESO-0840411,LSB,82.4,0.287,3.5,9.1,NA,0.06,0.21,1.49,[26]-[41]-[ES]-[NA]
ESO-1200211,LSB,15.2,0.028,2.0,3.5,NA,0.01,0.20,0.66,[26]-[41]-[ES]-[NA]
ESO-1870510,LSB,16.8,0.054,2.1,2.8,NA,0.09,1.62,2.02,[26]-[41]-[43]-[NA]
ESO-2060140,LSB,59.6,0.735,5.1,11.6,NA,3.51,4.78,4.34,[26]-[41]-[42]-[NA]
ESO-3020120,LSB,70.9,0.717,3.4,11.2,NA,0.77,1.07,2.37,[26]-[41]-[ES]-[NA]
ESO-3050090,LSB,13.2,0.186,1.3,5.6,NA,0.06,0.32,1.87,[26]-[41]-[ES]-[NA]
ESO-4250180,LSB,88.3,2.600,7.3,14.6,NA,4.79,1.84,5.17,[26]-[41]-[42]-[NA]
ESO-4880490,LSB,28.7,0.139,1.6,7.8,NA,0.43,3.07,4.34,[26]-[41]-[ES]-[NA]
F571-8,LSB,50.3,0.191,5.4,14.6,0.16,4.48,23.49,5.10,[26]-[28]-[27]-[28]
F579-V1,LSB,86.9,0.557,5.2,14.7,0.21,3.33,5.98,3.18,[26]-[28]-[27]-[28]
F730-V1,LSB,148.3,0.756,5.8,12.2,NA,5.95,7.87,6.22,[26]-[40]-[40]-[NA]
UGC-04115,LSB,5.5,0.004,0.3,1.7,NA,0.01,0.97,3.42,[26]-[41]-[44]-[NA]
UGC-06614,LSB,86.2,2.109,8.2,62.7,2.07,9.70,4.60,2.39,[26]-[41]-[35]-[35]
UGC-11454,LSB,93.9,0.456,3.4,12.3,NA,3.15,6.90,6.79,[26]-[41]-[40]-[NA]
UGC-11557,LSB,23.7,1.806,3.0,6.7,0.25,0.37,0.20,3.49,[26]-[41]-[32]-[32]
UGC-11583,LSB,7.1,0.012,0.7,2.1,NA,0.01,0.96,2.15,[26]-[41]-[40]-[NA]
UGC-11616,LSB,74.9,2.159,3.1,9.8,NA,2.43,1.13,7.49,[26]-[41]-[40]-[NA]
UGC-11648,LSB,49.0,4.073,4.0,13.0,NA,2.57,0.63,5.79,[26]-[41]-[40]-[NA]
UGC-11748,LSB,75.3,23.930,2.6,21.6,NA,9.67,0.40,1.01,[26]-[41]-[40]-[NA]
UGC-11819,LSB,61.5,2.155,4.7,11.9,NA,4.83,2.24,7.03,[26]-[41]-[40]-[NA]
