Galaxy,Type,Distance,L<sub>B</sub>,R<sub>0</sub>,R<sub>last</sub>,M<sub>HI</sub>,M<sub>disk</sub>,(M/L)<sub>stars</sub>,(v<sup>2</sup>/c<sup>2</sup>R)<sub>last</sub>,Data Sources
DDO-0064,LSB,6.8,0.015,1.3,2.1,0.02,0.04,2.87,6.05,[23]-[24]-[24]-[25]
F563-1,LSB,46.8,0.140,2.9,18.2,0.29,1.35,9.65,2.44,[26]-[27]-[27]-[28]
F563-V2,LSB,57.8,0.266,2.0,6.3,0.20,0.60,2.26,6.15,[29]-[27]-[27]-[28]
F568-3,LSB,80.0,0.351,4.2,11.6,0.30,1.20,3.43,3.16,[26]-[27]-[27]-[28]
F583-1,LSB,32.4,0.064,1.6,14.1,0.18,0.15,2.32,1.92,[26]-[27]-[27]-[28]
F583-4,LSB,50.8,0.096,2.8,7.0,0.06,0.31,3.25,2.52,[26]-[27]-[27]-[28]
NGC-0959,LSB,13.5,0.333,1.3,2.9,0.05,0.37,1.11,7.43,[23]-[30]-[31]-[30]
NGC-4395,LSB,4.1,0.374,2.7,0.9,0.13,0.83,2.21,2.29,[29]-[32]-[24]-[32]
NGC-7137,LSB,25.0,0.959,1.7,3.6,0.10,0.27,0.28,3.91,[23]-[33]-[ES]-[33]
UGC-0128,LSB,64.6,0.597,6.9,54.8,0.73,2.75,4.60,1.03,[34]-[27]-[35]-[35]
UGC-0191,LSB,15.9,0.129,1.7,2.2,0.26,0.49,3.81,15.48,[23]-[36]-[36]-[37]
UGC-0477,LSB,35.8,0.871,3.5,10.2,1.02,1.00,1.14,4.42,[29]-[30]-[ES]-[30]
UGC-1230,LSB,54.1,0.366,4.7,37.1,0.65,0.67,1.82,0.97,[27]-[27]-[35]-[35]
UGC-1281,LSB,5.1,0.017,1.6,1.7,0.03,0.01,0.53,3.02,[29]-[36]-[24]-[32]
UGC-1551,LSB,35.6,0.780,4.2,6.6,0.44,0.16,0.20,3.69,[23]-[38]-[39]-[38]
UGC-4325,LSB,11.9,0.373,1.9,3.4,0.10,0.40,1.08,7.39,[23]-[32]-[24]-[32]
UGC-5005,LSB,51.4,0.200,4.6,27.7,0.28,1.02,5.11,1.30,[27]-[27]-[35]-[35]
UGC-5750,LSB,56.1,0.472,3.3,8.6,0.10,0.10,0.21,1.58,[29]-[27]-[35]-[35]
UGC-5999,LSB,44.9,0.170,4.4,15.0,0.18,3.36,19.81,5.79,[27]-[27]-[35]-[35]
UGC-11820,LSB,17.1,0.169,3.6,3.7,0.40,1.68,9.95,8.44,[23]-[37]-[40]-[37]
